F	X	Y	Z	W	P	R
4.361	-8.627	9.371	0.048	0.31959	0.29421	0
4.362	-10.092	7.855	0.049	0.2679	0.3442	0
4.37	-11.294	6.112	0.049	0.20845	0.38519	0
4.375	-12.196	4.187	0.049	0.14279	0.41596	0
4.382	-12.77	2.131	0.05	0.07268	0.43553	0
4.387	-13	0	0.05	0	0.44336	0
4.394	-12.875	-2.149	0.051	-0.07327	0.4391	0
4.399	-12.395	-4.255	0.051	-0.14512	0.42273	0
4.406	-11.572	-6.263	0.052	-0.21358	0.39467	0
4.411	-10.425	-8.114	0.052	-0.27674	0.35555	0
4.419	-8.983	-9.758	0.052	-0.33279	0.30636	0
4.427	-7.283	-11.148	0.053	-0.38019	0.24839	0
4.431	-5.37	-12.242	0.053	-0.41752	0.18314	0
4.439	-3.295	-13.01	0.054	-0.44372	0.11237	0
4.445	-1.113	-13.428	0.054	-0.45796	0.03795	0
4.451	1.117	-13.48	0.054	-0.45973	-0.0381	0
4.458	3.334	-13.163	0.055	-0.44894	-0.11369	0
4.462	5.476	-12.484	0.055	-0.42576	-0.18675	0
4.469	7.484	-11.456	0.056	-0.3907	-0.25526	0
4.474	9.304	-10.107	0.056	-0.34468	-0.31731	0
4.482	10.881	-8.469	0.057	-0.28885	-0.37111	0
4.487	12.174	-6.588	0.057	-0.22468	-0.41518	0
4.495	13.142	-4.512	0.057	-0.15387	-0.44821	0
4.499	13.757	-2.296	0.058	-0.07829	-0.46917	0
4.502	14	0	0.058	0	-0.47747	0
3.893	13.902	1.999	0.059	0.06817	-0.47413	0
3.9	13.52	3.97	0.059	0.13539	-0.46111	0
3.906	12.859	5.872	0.059	0.20027	-0.43854	0
3.91	11.931	7.667	0.06	0.26149	-0.4069	0
3.919	10.752	9.317	0.06	0.31774	-0.3667	0
3.924	9.347	10.787	0.061	0.36788	-0.31877	0
3.924	7.741	12.045	0.061	0.4108	-0.264	0
3.931	5.967	13.066	0.061	0.44562	-0.2035	0
3.934	4.06	13.825	0.062	0.47151	-0.13845	0
3.94	2.057	14.308	0.062	0.48797	-0.07016	0
3.945	0	14.5	0.063	0.49452	0	0
3.951	-2.07	14.397	0.063	0.49101	0.0706	0
3.954	-4.111	14	0.063	0.47747	0.1402	0
3.962	-6.08	13.313	0.064	0.45405	0.20735	0
3.966	-7.938	12.351	0.064	0.42124	0.27071	0
3.974	-9.644	11.13	0.065	0.37959	0.32891	0
3.98	-11.165	9.674	0.065	0.32994	0.38077	0
3.982	-12.466	8.011	0.065	0.27322	0.42514	0
3.989	-13.521	6.175	0.066	0.21058	0.46113	0
3.994	-14.305	4.2	0.066	0.14325	0.48787	0
4	-14.803	2.128	0.067	0.07259	0.50485	0
4.004	-15	0	0.067	0	0.51158	0
4.011	-14.892	-2.141	0.067	-0.07302	0.50789	0
4.016	-14.48	-4.252	0.068	-0.145	0.49383	0
4.021	-13.768	-6.288	0.068	-0.21444	0.46957	0
4.028	-12.772	-8.208	0.069	-0.27993	0.43559	0
4.032	-11.508	-9.972	0.069	-0.34008	0.39247	0
4.037	-10.002	-11.543	0.069	-0.39366	0.34111	0
4.045	-8.281	-12.886	0.07	-0.43949	0.28244	0
4.048	-6.382	-13.976	0.07	-0.47664	0.21767	0
4.057	-4.341	-14.785	0.071	-0.50424	0.14806	0
4.062	-2.2	-15.298	0.071	-0.52173	0.07501	0
4.065	0	-15.5	0.072	-0.52863	0	0
4.073	2.212	-15.387	0.072	-0.52477	-0.07545	0
4.08	4.393	-14.959	0.072	-0.51019	-0.14981	0
4.085	6.495	-14.223	0.073	-0.48508	-0.22152	0
4.092	8.478	-13.193	0.073	-0.44993	-0.28915	0
4.095	10.299	-11.886	0.074	-0.40536	-0.35124	0
4.101	11.92	-10.329	0.074	-0.35227	-0.40655	0
4.11	13.307	-8.552	0.074	-0.29166	-0.45383	0
4.115	14.43	-6.59	0.075	-0.22475	-0.49215	0
4.122	15.265	-4.482	0.075	-0.15286	-0.5206	0
4.125	15.793	-2.271	0.076	-0.07744	-0.53861	0
4.128	16	0	0.076	0	-0.54568	0
3.638	15.914	2.01	0.077	0.06856	-0.54273	0
3.644	15.575	3.999	0.077	0.13638	-0.53118	0
3.65	14.988	5.934	0.077	0.20238	-0.51117	0
3.654	14.161	7.785	0.078	0.26551	-0.48297	0
3.662	13.106	9.522	0.078	0.32475	-0.44698	0
3.665	11.838	11.117	0.078	0.37915	-0.40375	0
3.67	10.377	12.544	0.079	0.42781	-0.35391	0
3.675	8.745	13.779	0.079	0.46995	-0.29824	0
3.682	6.966	14.803	0.08	0.50486	-0.23756	0
3.686	5.068	15.597	0.08	0.53195	-0.17284	0
3.69	3.081	16.149	0.08	0.55076	-0.10506	0
