F	X	Y	Z	W	P	R
5.163	31.306	-41.153	0.796	-1.40364	-1.06774	0
5.17	32.936	-39.877	0.796	-1.36013	-1.12333	0
5.163	34.513	-38.537	0.797	-1.31439	-1.17713	0
5.164	36.036	-37.134	0.797	-1.26655	-1.22909	0
5.156	37.502	-35.672	0.797	-1.21666	-1.27911	0
5.15	38.909	-34.151	0.798	-1.1648	-1.3271	0
5.143	40.254	-32.575	0.798	-1.11102	-1.37297	0
5.129	41.535	-30.946	0.799	-1.05546	-1.41669	0
5.117	42.751	-29.267	0.799	-0.99818	-1.45816	0
5.117	43.899	-27.54	0.799	-0.93927	-1.49732	0
5.098	44.976	-25.767	0.8	-0.87882	-1.53406	0
5.102	45.982	-23.953	0.8	-0.81694	-1.5684	0
5.082	46.915	-22.1	0.801	-0.75373	-1.60024	0
5.083	47.774	-20.21	0.801	-0.68927	-1.62954	0
5.077	48.556	-18.287	0.801	-0.62367	-1.6562	0
5.076	49.261	-16.333	0.802	-0.55705	-1.68026	0
5.09	49.887	-14.353	0.802	-0.48951	-1.70164	0
5.092	50.434	-12.349	0.803	-0.42115	-1.7203	0
5.095	50.9	-10.323	0.803	-0.35207	-1.73618	0
5.102	51.285	-8.281	0.803	-0.28241	-1.74932	0
5.111	51.588	-6.224	0.804	-0.21226	-1.75966	0
5.118	51.809	-4.156	0.804	-0.14173	-1.76719	0
5.122	51.945	-2.08	0.805	-0.07094	-1.77186	0
5.12	52	0	0.805	0	-1.77372	0
4.925	51.973	2.005	0.805	0.06837	-1.77281	0
4.913	51.87	4.007	0.806	0.13665	-1.7693	0
4.898	51.689	6.004	0.806	0.20478	-1.76313	0
4.881	51.432	7.993	0.806	0.27261	-1.75433	0
4.863	51.097	9.972	0.807	0.3401	-1.74291	0
4.848	50.687	11.937	0.807	0.40712	-1.72894	0
4.839	50.201	13.884	0.808	0.47353	-1.71235	0
4.82	49.64	15.813	0.808	0.53929	-1.69321	0
4.803	49.006	17.718	0.808	0.60426	-1.67155	0
4.799	48.298	19.598	0.809	0.6684	-1.64742	0
4.789	47.518	21.449	0.809	0.73154	-1.62081	0
4.784	46.667	23.27	0.81	0.79365	-1.59176	0
4.787	45.747	25.058	0.81	0.85463	-1.56037	0
4.783	44.758	26.808	0.81	0.91432	-1.52662	0
4.789	43.701	28.52	0.811	0.97271	-1.49058	0
4.79	42.58	30.189	0.811	1.02965	-1.45232	0
4.79	41.395	31.816	0.811	1.08514	-1.41189	0
4.791	40.147	33.396	0.812	1.13902	-1.36932	0
4.781	38.839	34.926	0.812	1.19121	-1.32472	0
4.782	37.473	36.405	0.813	1.24168	-1.2781	0
4.786	36.051	37.831	0.813	1.29033	-1.22961	0
4.768	34.574	39.202	0.813	1.33708	-1.17923	0
4.762	33.045	40.514	0.814	1.38187	-1.12707	0
4.758	31.467	41.767	0.814	1.4246	-1.07323	0
4.746	29.841	42.96	0.814	1.46528	-1.01777	0
4.744	28.17	44.088	0.815	1.50376	-0.96078	0
4.723	26.456	45.151	0.815	1.54004	-0.90231	0
4.721	24.703	46.148	0.816	1.57407	-0.84252	0
4.704	22.911	47.077	0.816	1.60575	-0.7814	0
4.708	21.084	47.936	0.816	1.63506	-0.71909	0
4.698	19.226	48.724	0.817	1.66194	-0.65572	0
4.7	17.338	49.441	0.817	1.68641	-0.59132	0
4.711	15.424	50.084	0.818	1.70834	-0.52604	0
4.709	13.485	50.653	0.818	1.72775	-0.45991	0
4.714	11.525	51.147	0.818	1.7446	-0.39307	0
4.723	9.549	51.565	0.819	1.75889	-0.32566	0
4.735	7.556	51.907	0.819	1.77055	-0.25769	0
4.738	5.552	52.171	0.819	1.77957	-0.18933	0
4.735	3.537	52.36	0.82	1.786	-0.12064	0
4.732	1.517	52.469	0.82	1.78973	-0.05173	0
4.728	-0.506	52.501	0.821	1.7908	0.01725	0
4.722	-2.53	52.454	0.821	1.78922	0.08627	0
4.715	-4.55	52.331	0.821	1.785	0.15517	0
4.707	-6.565	52.128	0.822	1.7781	0.2239	0
4.692	-8.571	51.848	0.822	1.76855	0.29232	0
4.672	-10.565	51.491	0.823	1.75637	0.36032	0
4.654	-12.545	51.058	0.823	1.7416	0.42784	0
4.642	-14.506	50.549	0.823	1.72421	0.49473	0
4.635	-16.447	49.963	0.824	1.70424	0.56094	0
4.617	-18.364	49.304	0.824	1.68173	0.62632	0
4.611	-20.256	48.571	0.824	1.65674	0.69085	0
4.609	-22.118	47.765	0.825	1.62924	0.75436	0
4.603	-23.948	46.889	0.825	1.59932	0.81675	0
4.61	-25.743	45.942	0.826	1.56703	0.87801	0
4.602	-27.501	44.926	0.826	1.53238	0.93794	0
4.608	-29.219	43.843	0.826	1.49541	0.99654	0
4.604	-30.894	42.694	0.827	1.45621	1.05368	0
4.606	-32.524	41.482	0.827	1.41487	1.10928	0
4.612	-34.106	40.207	0.828	1.37137	1.16326	0
4.602	-35.638	38.872	0.828	1.32582	1.21552	0
4.597	-37.118	37.478	0.828	1.27827	1.26601	0
4.599	-38.545	36.028	0.829	1.22882	1.31467	0
4.593	-39.913	34.524	0.829	1.17751	1.36136	0
4.578	-41.224	32.967	0.829	1.12442	1.40606	0
4.573	-42.474	31.362	0.83	1.06967	1.44871	0
4.566	-43.661	29.709	0.83	1.01326	1.48921	0
4.555	-44.783	28.011	0.831	0.95535	1.5275	0
4.548	-45.84	26.27	0.831	0.89596	1.56356	0
4.532	-46.83	24.49	0.831	0.83524	1.59733	0
4.528	-47.75	22.672	0.832	0.77325	1.62871	0
4.521	-48.599	20.82	0.832	0.71006	1.65769	0
4.518	-49.376	18.936	0.833	0.64582	1.68421	0
4.526	-50.082	17.023	0.833	0.58057	1.70828	0
4.524	-50.712	15.083	0.833	0.51442	1.72979	0
4.529	-51.268	13.121	0.834	0.4475	1.74873	0
4.539	-51.748	11.138	0.834	0.37987	1.76512	0
4.548	-52.15	9.138	0.834	0.31166	1.77886	0
4.548	-52.476	7.123	0.835	0.24293	1.78996	0
4.549	-52.723	5.096	0.835	0.1738	1.7984	0
4.548	-52.893	3.062	0.836	0.10442	1.80421	0
4.546	-52.984	1.021	0.836	0.03482	1.8073	0
4.541	-52.996	-1.021	0.836	-0.03483	1.80771	0
4.535	-52.929	-3.064	0.837	-0.10449	1.80544	0
4.527	-52.785	-5.102	0.837	-0.17401	1.80051	0
4.517	-52.561	-7.135	0.838	-0.24332	1.79287	0
4.508	-52.259	-9.157	0.838	-0.31231	1.78255	0
4.494	-51.879	-11.166	0.838	-0.38083	1.76959	0
4.475	-51.423	-13.161	0.839	-0.44885	1.75402	0
4.46	-50.889	-15.136	0.839	-0.51621	1.73581	0
4.452	-50.279	-17.09	0.84	-0.58285	1.715	0
4.439	-49.595	-19.02	0.84	-0.64868	1.69166	0
4.43	-48.836	-20.921	0.84	-0.71353	1.66578	0
4.433	-48.005	-22.793	0.841	-0.77738	1.6374	0
4.425	-47.101	-24.631	0.841	-0.84007	1.60659	0
4.433	-46.128	-26.435	0.841	-0.90159	1.57338	0
4.43	-45.085	-28.2	0.842	-0.96179	1.5378	0
4.44	-43.975	-29.923	0.842	-1.02055	1.49993	0
4.432	-42.799	-31.602	0.843	-1.07785	1.4598	0
4.432	-41.56	-33.236	0.843	-1.13358	1.41752	0
4.433	-40.257	-34.821	0.843	-1.18765	1.37307	0
4.429	-38.894	-36.354	0.844	-1.23995	1.32659	0
4.428	-37.473	-37.836	0.844	-1.29049	1.27811	0
4.424	-35.995	-39.261	0.845	-1.3391	1.22769	0
4.414	-34.463	-40.628	0.845	-1.38573	1.17544	0
4.41	-32.879	-41.935	0.845	-1.43034	1.1214	0
4.396	-31.247	-43.181	0.846	-1.47285	1.06572	0
4.391	-29.566	-44.364	0.846	-1.51319	1.00838	0
4.381	-27.84	-45.481	0.847	-1.55129	0.94952	0
4.372	-26.073	-46.53	0.847	-1.58709	0.88924	0
4.361	-24.266	-47.512	0.847	-1.62059	0.82761	0
4.355	-22.423	-48.422	0.848	-1.65166	0.76473	0
4.349	-20.544	-49.262	0.848	-1.6803	0.70066	0
4.354	-18.635	-50.029	0.848	-1.70648	0.63554	0
4.351	-16.697	-50.721	0.849	-1.7301	0.56945	0
4.355	-14.733	-51.339	0.849	-1.75117	0.50246	0
4.365	-12.747	-51.88	0.85	-1.76963	0.43473	0
4.369	-10.74	-52.346	0.85	-1.78551	0.36629	0
4.372	-8.717	-52.732	0.85	-1.79871	0.29731	0
4.375	-6.68	-53.041	0.851	-1.80925	0.22782	0
4.377	-4.632	-53.271	0.851	-1.81709	0.15796	0
4.377	-2.576	-53.423	0.852	-1.82228	0.08787	0
4.375	-0.515	-53.495	0.852	-1.82472	0.01758	0
4.371	1.546	-53.487	0.852	-1.82445	-0.05274	0
4.364	3.608	-53.399	0.853	-1.82147	-0.12304	0
4.355	5.665	-53.233	0.853	-1.81581	-0.19319	0
4.344	7.713	-52.988	0.854	-1.80742	-0.26305	0
4.333	9.752	-52.663	0.854	-1.79634	-0.33259	0
4.322	11.776	-52.261	0.854	-1.78261	-0.40164	0
4.308	13.785	-51.779	0.855	-1.7662	-0.47014	0
4.292	15.774	-51.221	0.855	-1.74715	-0.53798	0
4.281	17.74	-50.587	0.855	-1.7255	-0.60503	0
4.275	19.681	-49.877	0.856	-1.7013	-0.67124	0
4.264	21.593	-49.093	0.856	-1.67454	-0.73645	0
4.264	23.475	-48.235	0.857	-1.64526	-0.80062	0
4.26	25.322	-47.305	0.857	-1.61353	-0.86364	0
4.264	27.132	-46.305	0.857	-1.57943	-0.92538	0
4.263	28.904	-45.235	0.858	-1.54292	-0.9858	0
4.27	30.632	-44.098	0.858	-1.50412	-1.04474	0
4.268	32.317	-42.895	0.859	-1.46307	-1.10221	0
4.272	33.953	-41.627	0.859	-1.41983	-1.15803	0
4.268	35.54	-40.297	0.859	-1.37443	-1.21217	0
4.261	37.075	-38.906	0.86	-1.32698	-1.26454	0
4.259	38.556	-37.457	0.86	-1.27757	-1.31505	0
4.262	39.98	-35.951	0.861	-1.2262	-1.36363	0
4.249	41.345	-34.392	0.861	-1.17301	-1.41018	0
4.24	42.649	-32.78	0.861	-1.11803	-1.45468	0
4.235	43.891	-31.119	0.862	-1.06138	-1.49707	0
4.222	45.068	-29.412	0.862	-1.00313	-1.5372	0
4.217	46.178	-27.659	0.863	-0.94334	-1.57509	0
4.204	47.22	-25.865	0.863	-0.88216	-1.61064	0
4.201	48.194	-24.032	0.863	-0.81962	-1.64385	0
4.19	49.095	-22.161	0.864	-0.75582	-1.67461	0
4.192	49.924	-20.258	0.864	-0.6909	-1.70287	0
4.189	50.679	-18.323	0.865	-0.6249	-1.72867	0
4.191	51.359	-16.36	0.865	-0.55797	-1.75186	0
4.201	51.963	-14.372	0.865	-0.49014	-1.77247	0
4.203	52.49	-12.362	0.866	-0.42159	-1.79044	0
4.206	52.94	-10.332	0.866	-0.35236	-1.80581	0
4.211	53.311	-8.285	0.867	-0.28257	-1.81846	0
4.216	53.603	-6.227	0.867	-0.21236	-1.82841	0
4.219	53.815	-4.157	0.867	-0.14177	-1.83564	0
4.22	53.948	-2.081	0.868	-0.07097	-1.84019	0
4.219	54	0	0.868	0	-1.84197	0
4.04	53.975	1.996	0.868	0.06808	-1.84112	0
4.033	53.876	3.99	0.869	0.13606	-1.83775	0
4.023	53.703	5.979	0.869	0.20392	-1.83184	0
4.012	53.457	7.962	0.87	0.27153	-1.82345	0
4	53.139	9.933	0.87	0.33877	-1.81257	0
3.988	52.747	11.893	0.87	0.4056	-1.79921	0
3.979	52.282	13.837	0.871	0.47191	-1.78334	0
3.967	51.747	15.762	0.871	0.53757	-1.76508	0
3.953	51.14	17.668	0.871	0.60257	-1.74438	0
3.946	50.464	19.549	0.872	0.66674	-1.7213	0
3.94	49.717	21.405	0.872	0.73004	-1.69582	0
3.934	48.903	23.233	0.873	0.79239	-1.66804	0
3.938	48.022	25.029	0.873	0.85365	-1.63798	0
3.934	47.074	26.793	0.873	0.9138	-1.60566	0
3.941	46.061	28.52	0.874	0.97272	-1.5711	0
3.94	44.986	30.209	0.874	1.03032	-1.53442	0
3.946	43.849	31.858	0.875	1.08657	-1.49561	0
3.941	42.651	33.464	0.875	1.14136	-1.45475	0
3.94	41.395	35.025	0.875	1.19459	-1.41189	0
3.942	40.08	36.538	0.876	1.24621	-1.36705	0
3.939	38.711	38.003	0.876	1.29618	-1.32034	0
3.932	37.289	39.415	0.876	1.34437	-1.27183	0
3.929	35.815	40.776	0.877	1.39077	-1.22154	0
3.927	34.29	42.08	0.877	1.43527	-1.16954	0
3.915	32.72	43.327	0.878	1.47783	-1.11596	0
3.908	31.103	44.517	0.878	1.51841	-1.06081	0
3.9	29.444	45.646	0.878	1.55692	-1.00422	0
3.891	27.742	46.712	0.879	1.5933	-0.94618	0
3.886	26.003	47.716	0.879	1.62755	-0.88684	0
3.876	24.228	48.655	0.879	1.65958	-0.8263	0
3.871	22.418	49.528	0.88	1.68937	-0.76457	0
3.87	20.576	50.333	0.88	1.71683	-0.70176	0
3.868	18.707	51.07	0.881	1.74198	-0.63801	0
3.872	16.811	51.737	0.881	1.76477	-0.57333	0
3.876	14.89	52.335	0.881	1.78515	-0.50783	0
3.879	12.95	52.861	0.882	1.8031	-0.44165	0
3.883	10.989	53.314	0.882	1.81857	-0.37479	0
3.889	9.014	53.696	0.883	1.83159	-0.3074	0
3.895	7.025	54.004	0.883	1.8421	-0.2396	0
3.895	5.026	54.239	0.883	1.85011	-0.1714	0
3.894	3.018	54.398	0.884	1.85556	-0.10294	0
3.892	1.007	54.485	0.884	1.85851	-0.03435	0
3.888	-1.007	54.497	0.884	1.85892	0.03436	0
3.883	-3.02	54.434	0.885	1.85679	0.10301	0
3.878	-5.031	54.296	0.885	1.85208	0.17159	0
3.871	-7.036	54.085	0.886	1.84488	0.23996	0
3.86	-9.031	53.8	0.886	1.83515	0.308	0
3.847	-11.016	53.442	0.886	1.82291	0.37569	0
3.835	-12.986	53.009	0.887	1.80814	0.44288	0
3.826	-14.938	52.504	0.887	1.79093	0.50948	0
3.817	-16.872	51.928	0.887	1.77126	0.57543	0
3.805	-18.784	51.28	0.888	1.74915	0.64064	0
3.799	-20.67	50.562	0.888	1.72466	0.70496	0
3.795	-22.529	49.774	0.889	1.69776	0.76837	0
3.792	-24.359	48.918	0.889	1.66856	0.83077	0
3.797	-26.155	47.995	0.889	1.63708	0.89203	0
3.795	-27.917	47.006	0.89	1.60333	0.95214	0
3.8	-29.641	45.951	0.89	1.56735	1.01095	0
3.797	-31.325	44.835	0.891	1.52926	1.06839	0
3.799	-32.968	43.656	0.891	1.48905	1.12443	0
3.8	-34.566	42.418	0.891	1.4468	1.17893	0
3.799	-36.117	41.12	0.892	1.40251	1.23185	0
3.797	-37.62	39.766	0.892	1.35632	1.28313	0
3.793	-39.072	38.357	0.892	1.30827	1.33266	0
3.788	-40.472	36.895	0.893	1.25839	1.38041	0
3.785	-41.816	35.381	0.893	1.20675	1.42627	0
3.779	-43.104	33.82	0.894	1.15349	1.47021	0
3.774	-44.334	32.211	0.894	1.0986	1.51217	0
3.763	-45.504	30.557	0.894	1.04219	1.55209	0
3.754	-46.612	28.861	0.895	0.98435	1.58989	0
3.746	-47.657	27.124	0.895	0.92511	1.62553	0
3.738	-48.637	25.35	0.896	0.86459	1.65898	0
3.734	-49.551	23.541	0.896	0.80289	1.69017	0
3.732	-50.398	21.699	0.896	0.74005	1.71907	0
3.73	-51.176	19.825	0.897	0.67615	1.74561	0
3.735	-51.885	17.925	0.897	0.61134	1.7698	0
3.737	-52.523	15.999	0.897	0.54564	1.79158	0
3.74	-53.09	14.051	0.898	0.4792	1.81092	0
3.745	-53.584	12.082	0.898	0.41204	1.82777	0
3.752	-54.006	10.095	0.899	0.34429	1.84216	0
3.753	-54.353	8.095	0.899	0.27608	1.85403	0
3.755	-54.627	6.082	0.899	0.20743	1.86338	0
3.755	-54.826	4.06	0.9	0.13846	1.87015	0
3.754	-54.95	2.032	0.9	0.06931	1.8744	0
3.752	-55	0	0.901	0	1.87609	0
3.748	-54.974	-2.033	0.901	-0.06934	1.87522	0
3.742	-54.874	-4.063	0.901	-0.13858	1.87178	0
3.735	-54.697	-6.09	0.902	-0.20769	1.86575	0
3.728	-54.446	-8.109	0.902	-0.27655	1.8572	0
3.719	-54.122	-10.117	0.902	-0.34503	1.84612	0
3.708	-53.722	-12.113	0.903	-0.41311	1.83249	0
3.696	-53.249	-14.093	0.903	-0.48063	1.81633	0
3.686	-52.703	-16.054	0.904	-0.54751	1.79772	0
3.679	-52.085	-17.994	0.904	-0.6137	1.77663	0
3.668	-51.396	-19.91	0.904	-0.67906	1.75312	0
3.662	-50.635	-21.801	0.905	-0.74353	1.72716	0
3.66	-49.806	-23.662	0.905	-0.80702	1.69886	0
3.657	-48.908	-25.492	0.906	-0.86941	1.66824	0
3.66	-47.943	-27.288	0.906	-0.93068	1.63531	0
3.659	-46.911	-29.047	0.906	-0.99068	1.60011	0
3.663	-45.816	-30.766	0.907	-1.04934	1.56274	0
3.664	-44.658	-32.446	0.907	-1.10662	1.52322	0
3.666	-43.438	-34.081	0.907	-1.16241	1.48159	0
3.666	-42.158	-35.671	0.908	-1.21662	1.43794	0
3.661	-40.819	-37.212	0.908	-1.26919	1.39226	0
3.659	-39.425	-38.703	0.909	-1.32007	1.34468	0
3.66	-37.976	-40.142	0.909	-1.36915	1.29527	0
3.653	-36.475	-41.527	0.909	-1.41641	1.24405	0
3.646	-34.922	-42.855	0.91	-1.46172	1.19108	0
3.643	-33.322	-44.125	0.91	-1.50506	1.13652	0
3.634	-31.676	-45.337	0.911	-1.54638	1.08035	0
3.629	-29.986	-46.486	0.911	-1.58559	1.02271	0
3.619	-28.253	-47.572	0.911	-1.62264	0.9636	0
3.611	-26.481	-48.594	0.912	-1.65751	0.90317	0
3.604	-24.673	-49.55	0.912	-1.69012	0.8415	0
3.6	-22.83	-50.439	0.913	-1.72045	0.77864	0
3.598	-20.955	-51.258	0.913	-1.74841	0.71467	0
3.602	-19.051	-52.009	0.913	-1.77402	0.64974	0
3.602	-17.12	-52.689	0.914	-1.79722	0.58387	0
3.605	-15.164	-53.297	0.914	-1.81797	0.51717	0
3.611	-13.188	-53.832	0.914	-1.83624	0.44976	0
3.615	-11.191	-54.294	0.915	-1.85199	0.38168	0
3.617	-9.179	-54.682	0.915	-1.86524	0.31305	0
3.619	-7.154	-54.996	0.916	-1.87594	0.244	0
3.62	-5.118	-55.234	0.916	-1.88409	0.17455	0
3.621	-3.074	-55.397	0.916	-1.88963	0.10483	0
3.619	-1.026	-55.485	0.917	-1.89262	0.03498	0
3.616	1.026	-55.497	0.917	-1.89303	-0.03499	0
3.612	3.076	-55.433	0.918	-1.89086	-0.1049	0
3.605	5.123	-55.292	0.918	-1.88606	-0.17473	0
3.598	7.165	-55.077	0.918	-1.87871	-0.24436	0
3.59	9.197	-54.786	0.919	-1.8688	-0.31365	0
3.582	11.218	-54.421	0.919	-1.85633	-0.38257	0
3.573	13.224	-53.98	0.92	-1.84128	-0.451	0
3.561	15.212	-53.466	0.92	-1.82375	-0.51881	0
3.552	17.181	-52.879	0.92	-1.80371	-0.58597	0
3.545	19.128	-52.219	0.921	-1.78119	-0.65237	0
3.536	21.048	-51.488	0.921	-1.75625	-0.71787	0
3.532	22.941	-50.685	0.921	-1.72885	-0.78244	0
3.531	24.804	-49.813	0.922	-1.6991	-0.84597	0
3.53	26.633	-48.873	0.922	-1.66704	-0.90836	0
3.534	28.427	-47.866	0.923	-1.63267	-0.96955	0
3.535	30.183	-46.792	0.923	-1.59602	-1.02944	0
3.538	31.898	-45.655	0.923	-1.55723	-1.08793	0
3.538	33.571	-44.454	0.924	-1.51627	-1.14499	0
3.536	35.197	-43.193	0.924	-1.47325	-1.20048	0
3.537	36.777	-41.871	0.925	-1.42814	-1.25436	0
3.535	38.307	-40.492	0.925	-1.3811	-1.30657	0
3.532	39.786	-39.058	0.925	-1.33217	-1.357	0
3.528	41.211	-37.569	0.926	-1.28137	-1.40562	0
3.526	42.579	-36.027	0.926	-1.22878	-1.45231	0
3.52	43.891	-34.437	0.927	-1.17454	-1.49705	0
3.511	45.143	-32.798	0.927	-1.11865	-1.53978	0
3.505	46.334	-31.114	0.927	-1.0612	-1.58042	0
3.496	47.462	-29.388	0.928	-1.00231	-1.6189	0
3.49	48.526	-27.619	0.928	-0.94198	-1.65518	0
3.484	49.524	-25.812	0.928	-0.88036	-1.68924	0
3.48	50.454	-23.97	0.929	-0.81753	-1.72099	0
3.477	51.317	-22.094	0.929	-0.75353	-1.75041	0
3.478	52.109	-20.186	0.93	-0.68847	-1.77743	0
3.478	52.83	-18.252	0.93	-0.62248	-1.80205	0
3.482	53.48	-16.29	0.93	-0.55558	-1.82422	0
3.487	54.057	-14.307	0.931	-0.48793	-1.84391	0
3.489	54.559	-12.301	0.931	-0.41954	-1.86105	0
3.492	54.989	-10.279	0.932	-0.35056	-1.8757	0
3.495	55.343	-8.242	0.932	-0.2811	-1.88778	0
3.498	55.621	-6.193	0.932	-0.2112	-1.89729	0
3.499	55.823	-4.134	0.933	-0.14098	-1.90418	0
3.5	55.95	-2.069	0.933	-0.07057	-1.9085	0
3.498	56	0	0.934	0	-1.91021	0
3.375	55.975	1.999	0.934	0.06817	-1.90937	0
3.37	55.88	3.997	0.934	0.13631	-1.90613	0
3.364	55.713	5.989	0.935	0.20427	-1.90042	0
3.356	55.475	7.976	0.935	0.27203	-1.89228	0
3.348	55.166	9.953	0.935	0.33944	-1.88177	0
3.34	54.787	11.918	0.936	0.40648	-1.86881	0
3.332	54.338	13.869	0.936	0.47299	-1.8535	0
3.324	53.819	15.803	0.937	0.53896	-1.83579	0
3.314	53.231	17.717	0.937	0.60424	-1.81573	0
3.306	52.576	19.61	0.937	0.66882	-1.79337	0
3.301	51.853	21.478	0.938	0.73252	-1.7687	0
3.295	51.063	23.319	0.938	0.79532	-1.74176	0
3.295	50.209	25.133	0.939	0.85718	-1.71261	0
3.293	49.29	26.914	0.939	0.91793	-1.68125	0
3.296	48.307	28.662	0.939	0.97756	-1.64772	0
3.297	47.263	30.374	0.94	1.03595	-1.61212	0
3.302	46.158	32.048	0.94	1.09306	-1.5744	0
3.3	44.995	33.682	0.94	1.1488	-1.53471	0
3.301	43.772	35.274	0.941	1.2031	-1.49299	0
3.3	42.494	36.821	0.941	1.25586	-1.44938	0
3.299	41.161	38.323	0.942	1.30709	-1.40391	0
3.298	39.775	39.775	0.942	1.35663	-1.35663	0
3.293	38.338	41.177	0.942	1.40446	-1.3076	0
3.289	36.851	42.528	0.943	1.45057	-1.25689	0
3.286	35.317	43.825	0.943	1.4948	-1.20455	0
3.28	33.736	45.067	0.943	1.53716	-1.15064	0
3.276	32.113	46.252	0.944	1.57759	-1.09528	0
3.267	30.448	47.378	0.944	1.61602	-1.03846	0
3.26	28.744	48.445	0.945	1.65241	-0.98034	0
3.253	27.001	49.449	0.945	1.6867	-0.9209	0
3.249	25.224	50.391	0.945	1.71884	-0.86029	0
3.245	23.414	51.271	0.946	1.74884	-0.79855	0
3.246	21.574	52.084	0.946	1.77658	-0.73579	0
3.246	19.705	52.831	0.947	1.80207	-0.67206	0
3.249	17.81	53.512	0.947	1.82531	-0.60743	0
3.253	15.893	54.124	0.947	1.8462	-0.54202	0
3.256	13.953	54.667	0.948	1.86474	-0.47586	0
3.259	11.996	55.142	0.948	1.88095	-0.40911	0
3.262	10.021	55.546	0.948	1.89473	-0.34178	0
3.265	8.035	55.88	0.949	1.90613	-0.27402	0
3.266	6.036	56.143	0.949	1.91508	-0.20584	0
3.267	4.029	56.333	0.95	1.92158	-0.13741	0
3.266	2.016	56.453	0.95	1.92567	-0.06875	0
3.264	0	56.5	0.95	1.92728	0	0
3.261	-2.017	56.475	0.951	1.92642	0.06877	0
3.257	-4.032	56.379	0.951	1.92315	0.13752	0
3.251	-6.043	56.21	0.951	1.91738	0.20609	0
3.245	-8.047	55.969	0.952	1.90917	0.27445	0
3.237	-10.042	55.658	0.952	1.89856	0.34247	0
3.229	-12.025	55.275	0.953	1.88548	0.4101	0
3.221	-13.992	54.823	0.953	1.87003	0.47721	0
3.214	-15.944	54.299	0.953	1.85216	0.54377	0
3.205	-17.875	53.705	0.954	1.83192	0.60963	0
3.197	-19.785	53.044	0.954	1.80936	0.67478	0
3.192	-21.669	52.315	0.955	1.78446	0.73905	0
3.187	-23.527	51.518	0.955	1.75728	0.80241	0
3.185	-25.357	50.656	0.955	1.72787	0.86481	0
3.185	-27.153	49.729	0.956	1.69622	0.9261	0
3.185	-28.917	48.737	0.956	1.66239	0.98626	0
3.188	-30.644	47.684	0.956	1.62647	1.04517	0
3.19	-32.334	46.569	0.957	1.58841	1.10279	0
3.192	-33.982	45.395	0.957	1.54836	1.15902	0
3.192	-35.588	44.161	0.958	1.50628	1.2138	0
3.19	-37.148	42.871	0.958	1.46227	1.26703	0
3.189	-38.663	41.527	0.958	1.4164	1.31871	0
3.189	-40.128	40.128	0.959	1.36869	1.36869	0
3.184	-41.543	38.678	0.959	1.31923	1.41694	0
3.18	-42.906	37.178	0.96	1.26806	1.46346	0
3.178	-44.214	35.63	0.96	1.21526	1.50808	0
3.173	-45.467	34.036	0.96	1.16086	1.55082	0
3.166	-46.662	32.399	0.961	1.10501	1.59161	0
3.159	-47.798	30.718	0.961	1.04768	1.63037	0
3.152	-48.875	28.999	0.961	0.98904	1.66708	0
3.147	-49.888	27.241	0.962	0.92907	1.70167	0
3.142	-50.838	25.448	0.962	0.86793	1.73409	0
3.14	-51.726	23.622	0.963	0.80564	1.76436	0
3.14	-52.546	21.765	0.963	0.74231	1.79234	0
3.141	-53.299	19.88	0.963	0.67802	1.81805	0
3.144	-53.986	17.968	0.964	0.61281	1.8415	0
3.147	-54.604	16.033	0.964	0.54682	1.86257	0
3.15	-55.152	14.077	0.965	0.48008	1.88128	0
3.153	-55.631	12.102	0.965	0.41274	1.89762	0
3.156	-56.038	10.11	0.965	0.3448	1.91152	0
3.157	-56.375	8.106	0.966	0.27644	1.92302	0
3.158	-56.64	6.089	0.966	0.20766	1.93204	0
3.159	-56.832	4.065	0.966	0.13863	1.9386	0
3.158	-56.953	2.034	0.967	0.06936	1.94272	0
3.157	-57	0	0.967	0	1.94434	0
3.154	-56.975	-2.034	0.968	-0.06938	1.94347	0
3.149	-56.878	-4.068	0.968	-0.13874	1.94016	0
3.144	-56.707	-6.096	0.968	-0.20791	1.93435	0
3.138	-56.464	-8.119	0.969	-0.27688	1.92606	0
3.132	-56.15	-10.13	0.969	-0.3455	1.91535	0
3.125	-55.764	-12.131	0.97	-0.41372	1.90215	0
3.117	-55.307	-14.116	0.97	-0.48143	1.88657	0
3.109	-54.778	-16.085	0.97	-0.54857	1.86853	0
3.103	-54.18	-18.033	0.971	-0.61501	1.84811	0
3.095	-53.513	-19.96	0.971	-0.68073	1.82534	0
3.089	-52.777	-21.861	0.971	-0.74558	1.80022	0
3.085	-51.973	-23.735	0.972	-0.80949	1.7728	0
3.082	-51.103	-25.581	0.972	-0.87245	1.74312	0
3.082	-50.167	-27.393	0.973	-0.93427	1.7112	0
3.082	-49.167	-29.172	0.973	-0.99496	1.67706	0
3.085	-48.105	-30.915	0.973	-1.05439	1.64082	0
3.086	-46.979	-32.619	0.974	-1.11252	1.60242	0
3.088	-45.795	-34.282	0.974	-1.16924	1.56202	0
3.089	-44.551	-35.902	0.975	-1.2245	1.51956	0
3.087	-43.249	-37.476	0.975	-1.2782	1.47517	0
3.087	-41.893	-39.004	0.975	-1.33034	1.42888	0
3.085	-40.482	-40.482	0.976	-1.38075	1.38075	0
3.082	-39.019	-41.909	0.976	-1.42943	1.33085	0
3.078	-37.506	-43.284	0.977	-1.47635	1.27923	0
